id,title,year,release_month,genres,duration,country,language,directors,writers,actors,production_company,imdb_score,votes,budget,world_wide_boxoffice,metascore,profit,profit_margin
814005,The Amazing Truth About Queen Raquela,2008,10,"['Biography', 'Drama']",80,Iceland,Icelandic,['Olaf De Fleur Johannesson'],"['Olaf De Fleur Johannesson', 'Benedikt Jóhannesson']","['Raquela Rios', 'Stefan C. Schaefer', 'Olivia Galudo', 'Brax Villa', 'Valerie Grand Einarsson']",Cicala Filmworks,5.9,221,400000,7328,57,-392672,-0.98
814022,Bangkok Dangerous,2008,9,"['Action', 'Crime', 'Thriller']",99,Usa,English,"['Danny Pang', 'Oxide Chun Pang']","['Jason Richman', 'Oxide Chun Pang']","['Nicolas Cage', 'Shahkrit Yamnarm', 'Charlie Yeung', 'Panward Hemmanee', 'Nirattisai Kaljareuk']",Initial Entertainment Group (Ieg),5.4,54536,45000000,42487390,24,-2512610,-0.06
814130,The Hammer,2007,4,"['Comedy', 'Romance', 'Sport']",88,Usa,English,['Charles Herman-Wurmfeld'],"['Kevin Hench', 'Adam Carolla']","['Adam Carolla', 'Oswaldo Castillo', 'Harold House Moore', 'Christopher Darga', 'Jonathan Hernandez']",Bentley Filmgroup,7.2,5842,850000,443591,57,-406409,-0.48
814255,Percy Jackson & the Olympians: The Lightning Thief,2010,3,"['Adventure', 'Family', 'Fantasy']",118,Uk,English,['Chris Columbus'],"['Craig Titley', 'Rick Riordan']","['Logan Lerman', 'Brandon T. Jackson', 'Alexandra Daddario', 'Jake Abel', 'Sean Bean']",Fox 2000 Pictures,5.9,174198,95000000,226497209,47,131497209,1.38
814314,Seven Pounds,2008,1,['Drama'],123,Usa,English,['Gabriele Muccino'],['Grant Nieporte'],"['Will Smith', 'Rosario Dawson', 'Woody Harrelson', 'Michael Ealy', 'Barry Pepper']",Columbia Pictures,7.6,282310,55000000,169748929,36,114748929,2.09
814335,The Stepfather,2009,4,"['Crime', 'Thriller']",101,Usa,English,['Nelson Mccormick'],"['J.S. Cardone', 'Donald E. Westlake']","['Dylan Walsh', 'Sela Ward', 'Penn Badgley', 'Amber Heard', 'Sherry Stringfield']",Screen Gems,5.6,30818,20000000,31198531,33,11198531,0.56
814656,Les amitiés maléfiques,2006,9,['Drama'],100,France,French,['Emmanuel Bourdieu'],"['Emmanuel Bourdieu', 'Marcia Romano']","['Malik Zidi', 'Thibault Vinçon', 'Alexandre Steiger', 'Thomas Blanchard', 'Dominique Blanc']",Fondation Beaumarchais,6.4,494,,316184,75,,
814666,Bamako,2006,10,['Drama'],115,Mali,French,['Abderrahmane Sissako'],['Abderrahmane Sissako'],"['Aïssa Maïga', 'Tiécoura Traoré', 'Maimouna Hélène Diarra', 'Habib Dembélé', 'Djénéba Koné']",Archipel 33,6.7,1253,,1059232,81,,
814685,Frontière(s),2007,11,['Horror'],108,France,French,['Xavier Gens'],['Xavier Gens'],"['Karina Testa', 'Samuel Le Bihan', 'Estelle Lefébure', 'Aurélien Wiik', 'David Saracino']",Cartel Productions,6.2,24735,3000000,2783535,44,-216465,-0.07
815138,Take,2007,7,"['Crime', 'Drama', 'Thriller']",98,Usa,English,['Charles Oliver'],['Charles Oliver'],"['Minnie Driver', 'Jeremy Renner', 'Bobby Coleman', 'Adam Rodriguez', 'David Denman']",Crossing Paths,5.9,1483,,6627,22,,
815178,The Life Before Her Eyes,2007,12,"['Drama', 'Fantasy', 'Mystery']",90,Usa,English,['Vadim Perelman'],"['Laura Kasischke', 'Emil Stern']","['Uma Thurman', 'Evan Rachel Wood', 'Eva Amurri Martino', 'Gabrielle Brennan', 'Brett Cullen']",2929 Productions,6.3,13505,13000000,7248490,38,-5751510,-0.44
815182,Irene in Time,2009,6,"['Comedy', 'Drama', 'Romance']",95,Usa,English,['Henry Jaglom'],['Henry Jaglom'],"['Tanna Frederick', 'Andrea Marcovicci', 'Victoria Tennant', 'Karen Black', 'Lanre Idewu']",Irene In Time,4.8,198,2000000,,39,,
815236,She's Out of My League,2010,6,"['Comedy', 'Romance']",104,Usa,English,['Jim Field Smith'],"['Sean Anders', 'John Morris']","['Jay Baruchel', 'Alice Eve', 'T.J. Miller', 'Mike Vogel', 'Nate Torrence']",Dreamworks,6.4,124762,20000000,49779728,46,29779728,1.49
815244,Sydney White,2007,9,"['Comedy', 'Drama', 'Romance']",108,Usa,English,['Joe Nussbaum'],['Chad Gomez Creasey'],"['Amanda Bynes', 'Sara Paxton', 'Matt Long', 'Jack Carpenter', 'Jeremy Howard']",Morgan Creek Entertainment,6.2,45476,16500000,13620075,45,-2879925,-0.17
815245,The Uninvited,2009,5,"['Drama', 'Horror', 'Mystery']",87,Usa,English,"['Charles Guard', 'Thomas Guard']","['Craig Rosenberg', 'Doug Miro']","['Emily Browning', 'Arielle Kebbel', 'David Strathairn', 'Elizabeth Banks', 'Maya Massar']",Dreamworks,6.4,75032,,41633384,43,,
