id,title,year,release_month,genres,duration,country,language,directors,writers,actors,production_company,imdb_score,votes,budget,world_wide_boxoffice,metascore,profit,profit_margin
6864,Intolerance: Love's Struggle Throughout the Ages,1916,2,"['Drama', 'History']",163,Usa,English,['D.W. Griffith'],"['D.W. Griffith', 'Anita Loos']","['Lillian Gish', 'Mae Marsh', 'Robert Harron', 'F.A. Turner', 'Sam De Grasse']",Triangle Film Corporation,7.8,13875,385907,,99,,
17136,Metropolis,1927,10,"['Drama', 'Sci-Fi']",153,Germany,German,['Fritz Lang'],"['Thea Von Harbou', 'Thea Von Harbou']","['Alfred Abel', 'Gustav Fröhlich', 'Rudolf Klein-Rogge', 'Fritz Rasp', 'Theodor Loos']",Universum Film (Ufa),8.3,156076,,1349711,98,,
18037,The Jazz Singer,1927,2,"['Drama', 'Music', 'Musical']",88,Usa,English,['Alan Crosland'],"['Samson Raphaelson', 'Alfred A. Cohn']","['Al Jolson', 'May Mcavoy', 'Warner Oland', 'Eugenie Besserer', 'Otto Lederer']",Warner Bros.,6.5,8866,422000,,66,,
18773,The Circus,1928,10,"['Comedy', 'Romance']",72,Usa,English,['Charles Chaplin'],['Charles Chaplin'],"['Al Ernest Garcia', 'Merna Kennedy', 'Harry Crocker', 'George Davis', 'Henry Bergman']",Charles Chaplin Productions,8.1,27414,900000,26916,90,-873084,-0.97
19777,The Cocoanuts,1929,8,"['Comedy', 'Musical']",96,Usa,English,"['Robert Florey', 'Joseph Santley']","['George S. Kaufman', 'Morrie Ryskind']","['The Marx Brothers', 'Zeppo Marx', 'Groucho Marx', 'Harpo Marx', 'Chico Marx']",Paramount Pictures,7.0,6900,500000,,69,,
20269,Piccadilly,1929,2,"['Drama', 'Crime']",92,Uk,English,['Ewald André Dupont'],['Arnold Bennett'],"['Gilda Gray', 'Anna May Wong', 'Jameson Thomas', 'Cyril Ritchard', 'King Hou Chang']",British International Pictures (Bip),7.1,1353,,,89,,
20629,All Quiet on the Western Front,1930,3,"['Drama', 'War']",152,Usa,English,['Lewis Milestone'],"['Erich Maria Remarque', 'Maxwell Anderson']","['Louis Wolheim', 'Lew Ayres', 'John Wray', 'Arnold Lucy', 'Ben Alexander']",Universal Pictures,8.0,56356,1200000,,91,,
20640,Animal Crackers,1930,9,"['Comedy', 'Musical']",97,Usa,English,['Victor Heerman'],"['George S. Kaufman', 'Morrie Ryskind']","['The Marx Brothers', 'Groucho Marx', 'Harpo Marx', 'Chico Marx', 'Zeppo Marx']",Paramount Pictures,7.5,13341,,,77,,
20697,Der blaue Engel,1930,2,"['Drama', 'Music']",104,Germany,German,['Josef Von Sternberg'],"['Heinrich Mann', 'Carl Zuckmayer']","['Emil Jannings', 'Marlene Dietrich', 'Kurt Gerron', 'Rosa Valetti', 'Hans Albers']",Universum Film (Ufa),7.7,13311,,4410,88,,
21746,Cimarron,1931,2,"['Drama', 'Western']",123,Usa,English,['Wesley Ruggles'],"['Edna Ferber', 'Howard Estabrook']","['Richard Dix', 'Irene Dunne', 'Estelle Taylor', ""Nance O'Neil"", 'William Collier Jr.']",Rko Radio Pictures,5.9,5304,1433000,,70,,
21749,City Lights,1931,4,"['Comedy', 'Drama', 'Romance']",87,Usa,English,['Charles Chaplin'],['Charles Chaplin'],"['Virginia Cherrill', 'Florence Lee', 'Harry Myers', 'Al Ernest Garcia', 'Hank Mann']",Charles Chaplin Productions,8.5,162668,1500000,46008,99,-1453992,-0.97
21884,Frankenstein,1931,12,"['Drama', 'Horror', 'Romance']",70,Usa,English,['James Whale'],"['John L. Balderston', 'Mary Shelley']","['Colin Clive', 'Mae Clarke', 'John Boles', 'Boris Karloff', 'Edward Van Sloan']",Universal Pictures,7.8,63315,291000,1626,91,-289374,-0.99
21890,The Front Page,1931,4,"['Comedy', 'Crime', 'Drama']",101,Usa,English,['Lewis Milestone'],"['Ben Hecht', 'Charles Macarthur']","['Adolphe Menjou', ""Pat O'Brien"", 'Mary Brian', 'Edward Everett Horton', 'Walter Catlett']",The Caddo Company,6.7,2348,,,76,,
22913,Freaks,1932,2,"['Drama', 'Horror']",64,Usa,English,['Tod Browning'],"[""Clarence Aaron 'Tod' Robbins"", 'Willis Goldbeck']","['Wallace Ford', 'Leila Hyams', 'Olga Baclanova', 'Roscoe Ates', 'Henry Victor']",Metro-Goldwyn-Mayer (Mgm),7.9,41173,310607,4072,80,-306535,-0.99
23027,Horse Feathers,1932,8,"['Comedy', 'Musical', 'Romance']",68,Usa,English,['Norman Z. Mcleod'],"['Bert Kalmar', 'Harry Ruby']","['The Marx Brothers', 'Groucho Marx', 'Harpo Marx', 'Chico Marx', 'Zeppo Marx']",Paramount Pictures,7.6,11594,,,83,,
23634,Otona no miru ehon - Umarete wa mita keredo,1932,6,"['Comedy', 'Drama']",100,Japan,Japanese,['Yasujirô Ozu'],"['Akira Fushimi', 'Geibei Ibushiya']","['Tatsuo Saitô', 'Tomio Aoki', 'Mitsuko Yoshikawa', 'Hideo Sugawara', 'Takeshi Sakamoto']",Shochiku,8.0,4781,,,91,,
23825,Bombshell,1933,10,"['Comedy', 'Drama', 'Romance']",96,Usa,English,['Victor Fleming'],"['John Lee Mahin', 'Jules Furthman']","['Jean Harlow', 'Lee Tracy', 'Frank Morgan', 'Franchot Tone', ""Pat O'Brien""]",Metro-Goldwyn-Mayer (Mgm),7.1,2247,344000,,81,,
23969,Duck Soup,1933,11,"['Comedy', 'Musical', 'War']",69,Usa,English,['Leo Mccarey'],"['Bert Kalmar', 'Harry Ruby']","['The Marx Brothers', 'Groucho Marx', 'Harpo Marx', 'Chico Marx', 'Zeppo Marx']",Paramount Pictures,7.8,54717,,103800,93,,
24025,Flying Down to Rio,1933,6,"['Comedy', 'Musical', 'Romance']",89,Usa,English,['Thornton Freeland'],"['Cyril Hume', 'H.W. Hanemann']","['Dolores Del Rio', 'Gene Raymond', 'Raul Roulien', 'Ginger Rogers', 'Fred Astaire']",Rko Radio Pictures,6.6,3275,462000,,72,,
24028,Footlight Parade,1933,7,"['Comedy', 'Musical', 'Romance']",104,Usa,English,['Lloyd Bacon'],"['Manuel Seff', 'James Seymour']","['James Cagney', 'Joan Blondell', 'Ruby Keeler', 'Dick Powell', 'Frank Mchugh']",Warner Bros.,7.6,4716,703000,,80,,
24034,42nd Street,1933,9,"['Comedy', 'Musical', 'Romance']",89,Usa,English,['Lloyd Bacon'],"['Rian James', 'James Seymour']","['Warner Baxter', 'Bebe Daniels', 'George Brent', 'Ruby Keeler', 'Guy Kibbee']",Warner Bros.,7.4,10490,439000,1600,83,-437400,-1.0
24184,The Invisible Man,1933,4,"['Horror', 'Sci-Fi']",71,Usa,English,['James Whale'],"['H.G. Wells', 'R.C. Sherriff']","['Claude Rains', 'Gloria Stuart', 'William Harrigan', 'Henry Travers', ""Una O'Connor""]",Universal Pictures,7.7,29291,,27105,87,,
24216,King Kong,1933,12,"['Adventure', 'Horror', 'Sci-Fi']",100,Usa,English,"['Merian C. Cooper', 'Ernest B. Schoedsack']","['James Ashmore Creelman', 'Ruth Rose']","['Fay Wray', 'Robert Armstrong', 'Bruce Cabot', 'Frank Reicher', 'Sam Hardy']",Rko Radio Pictures,7.9,77507,670000,651,90,-669349,-1.0
24264,Little Women,1933,11,"['Drama', 'Family', 'Romance']",115,Usa,English,['George Cukor'],"['Louisa May Alcott', 'Sarah Y. Mason']","['Katharine Hepburn', 'Joan Bennett', 'Paul Lukas', 'Edna May Oliver', 'Jean Parker']",Rko Radio Pictures,7.2,6254,424000,,92,,
24593,The Son of Kong,1933,12,"['Adventure', 'Comedy']",70,Usa,English,['Ernest B. Schoedsack'],['Ruth Rose'],"['Robert Armstrong', 'Helen Mack', 'Frank Reicher', 'John Marston', 'Victor Wong']",Rko Radio Pictures,5.7,3835,250000,,50,,
25037,Death Takes a Holiday,1934,3,"['Drama', 'Fantasy', 'Romance']",79,Usa,English,['Mitchell Leisen'],"['Maxwell Anderson', 'Gladys Lehman']","['Fredric March', 'Evelyn Venable', 'Guy Standing', 'Katharine Alexander', 'Gail Patrick']",Paramount Pictures,7.1,1631,,,53,,
25164,The Gay Divorcee,1934,10,"['Comedy', 'Musical', 'Romance']",107,Usa,English,['Mark Sandrich'],"['Dwight Taylor', 'Kenneth S. Webb']","['Fred Astaire', 'Ginger Rogers', 'Alice Brady', 'Edward Everett Horton', 'Erik Rhodes']",Rko Radio Pictures,7.5,6797,520000,6750,80,-513250,-0.99
25316,It Happened One Night,1934,12,"['Comedy', 'Romance']",105,Usa,English,['Frank Capra'],"['Robert Riskin', 'Samuel Hopkins Adams']","['Clark Gable', 'Claudette Colbert', 'Walter Connolly', 'Roscoe Karns', 'Jameson Thomas']",Columbia Pictures,8.1,91400,325000,,87,,
26029,The 39 Steps,1935,4,"['Mystery', 'Thriller']",86,Uk,English,['Alfred Hitchcock'],"['John Buchan', 'Charles Bennett']","['Robert Donat', 'Madeleine Carroll', 'Lucie Mannheim', 'Godfrey Tearle', 'Peggy Ashcroft']",Gaumont British Picture Corporation,7.6,50519,,51711,93,,
26138,Bride of Frankenstein,1935,6,"['Drama', 'Horror', 'Sci-Fi']",75,Usa,English,['James Whale'],"['Mary Shelley', 'William Hurlbut']","['Boris Karloff', 'Colin Clive', 'Valerie Hobson', 'Ernest Thesiger', 'Elsa Lanchester']",Universal Pictures,7.8,42196,397024,10493,95,-386531,-0.97
26752,Mutiny on the Bounty,1935,1,"['Adventure', 'Biography', 'Drama']",132,Usa,English,['Frank Lloyd'],"['Talbot Jennings', 'Jules Furthman']","['Charles Laughton', 'Clark Gable', 'Franchot Tone', 'Herbert Mundin', 'Eddie Quillan']",Metro-Goldwyn-Mayer (Mgm),7.7,20336,1950000,,87,,
26912,The Raven,1935,7,"['Crime', 'Horror']",61,Usa,English,['Lew Landers'],"['Edgar Allan Poe', 'David Boehm']","['Boris Karloff', 'Bela Lugosi', 'Lester Matthews', 'Irene Ware', 'Samuel S. Hinds']",Universal Pictures,7.0,4477,115000,,44,,
26942,Roberta,1935,3,"['Comedy', 'Musical', 'Romance']",106,Usa,English,['William A. Seiter'],"['Jerome Kern', 'Otto A. Harbach']","['Irene Dunne', 'Fred Astaire', 'Ginger Rogers', 'Randolph Scott', 'Helen Westley']",Rko Radio Pictures,7.1,2860,610000,2493,66,-607507,-1.0
27125,Top Hat,1935,1,"['Comedy', 'Musical', 'Romance']",101,Usa,English,['Mark Sandrich'],"['Dwight Taylor', 'Allan Scott']","['Fred Astaire', 'Ginger Rogers', 'Edward Everett Horton', 'Erik Rhodes', 'Eric Blore']",Rko Radio Pictures,7.7,17004,609000,,92,,
27515,Desire,1936,5,"['Comedy', 'Crime', 'Romance']",95,Usa,English,['Frank Borzage'],"['Hans Székely', 'Robert A. Stemmle']","['Marlene Dietrich', 'Gary Cooper', 'John Halliday', 'William Frawley', 'Ernest Cossart']",Paramount Pictures,7.1,2078,1200000,,86,,
27700,The Green Pastures,1936,8,['Drama'],93,Usa,English,"['Marc Connelly', 'William Keighley']","['Roark Bradford', 'Marc Connelly']","['Rex Ingram', 'Oscar Polk', ""Eddie 'Rochester' Anderson"", 'Frank H. Wilson', 'George Reed']",Warner Bros.,6.8,730,,,74,,
27977,Modern Times,1936,3,"['Comedy', 'Drama', 'Family']",87,Usa,English,['Charles Chaplin'],['Charles Chaplin'],"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman', 'Tiny Sandford', 'Chester Conklin']",Charles Chaplin Productions,8.5,211250,1500000,457688,96,-1042312,-0.69
28212,Sabotage,1936,2,"['Crime', 'Thriller']",76,Uk,English,['Alfred Hitchcock'],"['Joseph Conrad', 'Charles Bennett']","['Sylvia Sidney', 'Oskar Homolka', 'Desmond Tester', 'John Loder', 'Joyce Barbour']",Gaumont British Picture Corporation,7.1,14481,,,85,,
28333,Swing Time,1936,2,"['Comedy', 'Musical', 'Romance']",103,Usa,English,['George Stevens'],"['Howard Lindsay', 'Allan Scott']","['Fred Astaire', 'Ginger Rogers', 'Victor Moore', 'Helen Broderick', 'Eric Blore']",Rko Radio Pictures,7.6,11998,886000,4961,91,-881039,-0.99
28346,Tell Your Children,1936,12,"['Crime', 'Drama']",66,Usa,English,['Louis J. Gasnier'],"['Lawrence Meade', 'Arthur Hoerl']","['Dorothy Short', 'Kenneth Craig', 'Lillian Miles', ""Dave O'Brien"", 'Thelma White']",George A. Hirliman Productions,3.8,7696,,,70,,
28597,The Awful Truth,1937,12,"['Comedy', 'Romance']",90,Usa,English,['Leo Mccarey'],"['Viña Delmar', 'Arthur Richman']","['Irene Dunne', 'Cary Grant', 'Ralph Bellamy', ""Alexander D'Arcy"", 'Cecil Cunningham']",Columbia Pictures,7.7,17167,600000,,87,,
29453,Pépé le Moko,1937,10,"['Crime', 'Drama', 'Romance']",94,France,French,['Julien Duvivier'],"['Henri La Barthe', 'Henri La Barthe']","['Jean Gabin', 'Gabriel Gabrio', 'Saturnin Fabre', 'Fernand Charpin', 'Lucas Gridoux']",Paris Film,7.7,6180,60000,155895,98,95895,1.6
29583,Snow White and the Seven Dwarfs,1937,11,"['Animation', 'Family', 'Fantasy']",83,Usa,English,"['William Cottrell', 'David Hand']","['Jacob Grimm', 'Wilhelm Grimm']","['Roy Atwell', 'Stuart Buchanan', 'Adriana Caselotti', 'Eddie Collins', 'Pinto Colvig']",Walt Disney Productions,7.6,177157,1499000,184925486,95,183426486,122.37
29606,A Star Is Born,1937,11,"['Drama', 'Romance']",111,Usa,English,"['William A. Wellman', 'Jack Conway']","['Dorothy Parker', 'Alan Campbell']","['Janet Gaynor', 'Fredric March', 'Adolphe Menjou', 'May Robson', 'Andy Devine']",Selznick International Pictures,7.3,8448,1173639,,77,,
29843,The Adventures of Robin Hood,1938,1,"['Action', 'Adventure', 'Romance']",102,Usa,English,"['Michael Curtiz', 'William Keighley']","['Norman Reilly Raine', 'Seton I. Miller']","['Errol Flynn', 'Olivia De Havilland', 'Basil Rathbone', 'Claude Rains', 'Patric Knowles']",Warner Bros.,7.9,46382,1900000,,97,,
29947,Bringing Up Baby,1938,8,"['Comedy', 'Family', 'Romance']",102,Usa,English,['Howard Hawks'],"['Dudley Nichols', 'Hagar Wilde']","['Katharine Hepburn', 'Cary Grant', 'Charles Ruggles', 'Walter Catlett', 'Barry Fitzgerald']",Rko Radio Pictures,7.9,53931,1073000,11180,91,-1061820,-0.99
31225,Destry Rides Again,1939,6,"['Comedy', 'Western']",95,Usa,English,['George Marshall'],"['Felix Jackson', 'Gertrude Purcell']","['Marlene Dietrich', 'James Stewart', 'Mischa Auer', 'Charles Winninger', 'Brian Donlevy']",Universal Pictures,7.7,9914,,,81,,
31381,Gone with the Wind,1939,3,"['Drama', 'History', 'Romance']",238,Usa,English,"['Victor Fleming', 'George Cukor']","['Margaret Mitchell', 'Sidney Howard']","['Thomas Mitchell', ""Barbara O'Neil"", 'Vivien Leigh', 'Evelyn Keyes', 'Ann Rutherford']",Selznick International Pictures,8.1,283975,3977000,402352579,97,398375579,100.17
31491,Intermezzo: A Love Story,1939,2,"['Drama', 'Romance']",70,Usa,English,['Gregory Ratoff'],"[""George O'Neil"", 'Gösta Stevens']","['Leslie Howard', 'Ingrid Bergman', 'Edna Best', 'John Halliday', 'Cecil Kellaway']",Selznick International Pictures,6.7,2216,800000,,74,,
31593,Love Affair,1939,1,"['Comedy', 'Drama', 'Romance']",88,Usa,English,['Leo Mccarey'],"['Delmer Daves', 'Donald Ogden Stewart']","['Irene Dunne', 'Charles Boyer', 'Maria Ouspenskaya', 'Lee Bowman', 'Astrid Allwyn']",Rko Radio Pictures,7.3,4262,,,91,,
31679,Mr. Smith Goes to Washington,1939,4,"['Comedy', 'Drama']",129,Usa,English,['Frank Capra'],"['Sidney Buchman', 'Lewis R. Foster']","['Jean Arthur', 'James Stewart', 'Claude Rains', 'Edward Arnold', 'Guy Kibbee']",Columbia Pictures,8.1,104547,1900000,144738,73,-1755262,-0.92
31742,Of Mice and Men,1939,1,['Drama'],106,Usa,English,['Lewis Milestone'],"['John Steinbeck', 'Eugene Solow']","['Burgess Meredith', 'Betty Field', 'Lon Chaney Jr.', 'Charles Bickford', 'Roman Bohnen']",Hal Roach Studios,7.9,5337,,,89,,
31762,Only Angels Have Wings,1939,2,"['Adventure', 'Drama', 'Romance']",121,Usa,English,['Howard Hawks'],['Jules Furthman'],"['Cary Grant', 'Jean Arthur', 'Richard Barthelmess', 'Rita Hayworth', 'Thomas Mitchell']",Columbia Pictures,7.7,12164,,8554,86,,
31971,Stagecoach,1939,11,"['Adventure', 'Drama', 'Western']",96,Usa,English,['John Ford'],"['Ernest Haycox', 'Dudley Nichols']","['Claire Trevor', 'John Wayne', 'Andy Devine', 'John Carradine', 'Thomas Mitchell']",Walter Wanger Productions,7.9,42250,392000,,93,,
31983,The Story of Vernon and Irene Castle,1939,2,"['Biography', 'Drama', 'Musical']",93,Usa,English,['H.C. Potter'],"['Richard Sherman', 'Oscar Hammerstein Ii']","['Fred Astaire', 'Ginger Rogers', 'Edna May Oliver', 'Walter Brennan', 'Lew Fields']",Rko Radio Pictures,6.9,2250,1196000,,67,,
32138,The Wizard of Oz,1939,4,"['Adventure', 'Family', 'Fantasy']",102,Usa,English,"['Victor Fleming', 'George Cukor']","['Noel Langley', 'Florence Ryerson']","['Judy Garland', 'Frank Morgan', 'Ray Bolger', 'Bert Lahr', 'Jack Haley']",Metro-Goldwyn-Mayer (Mgm),8.0,366293,2777000,26142032,100,23365032,8.41
32455,Fantasia,1940,9,"['Animation', 'Family', 'Fantasy']",125,Usa,English,"['James Algar', 'Samuel Armstrong']","['Joe Grant', 'Dick Huemer']","['Deems Taylor', 'Leopold Stokowski', 'The Philadelphia Orchestra']",Walt Disney Productions,7.8,86795,2280000,76411401,96,74131401,32.51
32551,The Grapes of Wrath,1940,4,"['Drama', 'History']",129,Usa,English,['John Ford'],"['Nunnally Johnson', 'John Steinbeck']","['Henry Fonda', 'Jane Darwell', 'John Carradine', 'Charley Grapewin', 'Dorris Bowdon']",Twentieth Century Fox,8.0,84612,800000,,96,,
32904,The Philadelphia Story,1940,4,"['Comedy', 'Romance']",112,Usa,English,['George Cukor'],"['Donald Ogden Stewart', 'Philip Barry']","['Cary Grant', 'Katharine Hepburn', 'James Stewart', 'Ruth Hussey', 'John Howard']",Metro-Goldwyn-Mayer (Mgm),7.9,62135,,411442,96,,
32910,Pinocchio,1940,11,"['Animation', 'Comedy', 'Family']",88,Usa,English,"['Norman Ferguson', 'T. Hee']","['Carlo Collodi', 'Ted Sears']","['Mel Blanc', 'Don Brodie', 'Stuart Buchanan', 'Walter Catlett', 'Marion Darlington']",Walt Disney Animation Studios,7.4,127618,2600000,121892045,99,119292045,45.88
32976,Rebecca,1940,11,"['Drama', 'Mystery', 'Romance']",130,Usa,English,['Alfred Hitchcock'],"['Daphne Du Maurier', 'Robert E. Sherwood']","['Laurence Olivier', 'Joan Fontaine', 'George Sanders', 'Judith Anderson', 'Nigel Bruce']",Selznick International Pictures,8.1,119307,1288000,72275,86,-1215725,-0.94
32981,Remember the Night,1940,1,"['Comedy', 'Drama', 'Romance']",94,Usa,English,['Mitchell Leisen'],['Preston Sturges'],"['Barbara Stanwyck', 'Fred Macmurray', 'Beulah Bondi', 'Elizabeth Patterson', 'Willard Robertson']",Paramount Pictures,7.6,4389,,,78,,
32993,Road to Singapore,1940,6,"['Comedy', 'Musical', 'Romance']",85,Usa,English,['Victor Schertzinger'],"['Don Hartman', 'Frank Butler']","['Bing Crosby', 'Dorothy Lamour', 'Bob Hope', 'Charles Coburn', 'Judith Barrett']",Paramount Pictures,6.8,3471,,,63,,
33045,The Shop Around the Corner,1940,10,"['Comedy', 'Drama', 'Romance']",99,Usa,English,['Ernst Lubitsch'],"['Samson Raphaelson', 'Miklós László']","['Margaret Sullavan', 'James Stewart', 'Frank Morgan', 'Joseph Schildkraut', 'Sara Haden']",Metro-Goldwyn-Mayer (Mgm),8.1,26822,,36368,96,,
33110,Strike Up the Band,1940,9,"['Comedy', 'Musical', 'Romance']",120,Usa,English,['Busby Berkeley'],"['John Monks Jr.', 'Fred F. Finklehoffe']","['Mickey Rooney', 'Judy Garland', 'Paul Whiteman And Orchestra', 'June Preisser', 'William Tracy']",Metro-Goldwyn-Mayer (Mgm),6.9,1402,838661,,59,,
33253,The Westerner,1940,9,"['Drama', 'Romance', 'Western']",100,Usa,English,['William Wyler'],"['Jo Swerling', 'Niven Busch']","['Gary Cooper', 'Walter Brennan', 'Doris Davenport', 'Fred Stone', 'Forrest Tucker']",The Samuel Goldwyn Company,7.4,4987,2000000,,78,,
33467,Citizen Kane,1941,11,"['Drama', 'Mystery']",119,Usa,English,['Orson Welles'],"['Herman J. Mankiewicz', 'Orson Welles']","['Joseph Cotten', 'Dorothy Comingore', 'Agnes Moorehead', 'Ruth Warrick', 'Ray Collins']",Rko Radio Pictures,8.3,389322,839727,1594107,100,754380,0.9
33563,Dumbo,1941,11,"['Animation', 'Drama', 'Family']",64,Usa,English,"['Samuel Armstrong', 'Norman Ferguson']","['Joe Grant', 'Dick Huemer']","['Herman Bing', 'Billy Bletcher', 'Edward Brophy', 'Hall Johnson Choir', 'Cliff Edwards']",Walt Disney Productions,7.2,116855,950000,3731,96,-946269,-1.0
33722,Hold Back the Dawn,1941,9,"['Drama', 'Romance']",116,Usa,English,['Mitchell Leisen'],"['Charles Brackett', 'Billy Wilder']","['Charles Boyer', 'Olivia De Havilland', 'Paulette Goddard', 'Victor Francen', 'Walter Abel']",Paramount Pictures,7.4,1883,,,79,,
33804,The Lady Eve,1941,4,"['Comedy', 'Romance']",94,Usa,English,['Preston Sturges'],"['Monckton Hoffe', 'Preston Sturges']","['Barbara Stanwyck', 'Henry Fonda', 'Charles Coburn', 'Eugene Pallette', 'William Demarest']",Paramount Pictures,7.8,18638,,13020,96,,
33870,The Maltese Falcon,1941,10,"['Film-Noir', 'Mystery']",100,Usa,English,['John Huston'],"['John Huston', 'Dashiell Hammett']","['Humphrey Bogart', 'Mary Astor', 'Gladys George', 'Peter Lorre', 'Barton Maclane']",Warner Bros.,8.0,146815,375000,1255,96,-373745,-1.0
34248,Suspicion,1941,10,"['Mystery', 'Thriller']",99,Usa,English,['Alfred Hitchcock'],"['Samson Raphaelson', 'Joan Harrison']","['Cary Grant', 'Joan Fontaine', 'Cedric Hardwicke', 'Nigel Bruce', 'May Whitty']",Rko Radio Pictures,7.4,31663,1103000,,83,,
34398,The Wolf Man,1941,3,['Horror'],70,Usa,English,['George Waggner'],['Curt Siodmak'],"['Lon Chaney Jr.', 'Claude Rains', 'Warren William', 'Ralph Bellamy', 'Patric Knowles']",Universal Pictures,7.3,23071,180000,420,72,-179580,-1.0
34492,Bambi,1942,2,"['Animation', 'Drama', 'Family']",70,Usa,English,"['James Algar', 'Samuel Armstrong']","['Felix Salten', 'Perce Pearce']","['Hardie Albright', 'Stan Alexander', 'Bobette Audrey', 'Peter Behn', 'Thelma Boardman']",Walt Disney Animation Studios,7.3,128243,,267447150,91,,
34583,Casablanca,1942,11,"['Drama', 'Romance', 'War']",102,Usa,English,['Michael Curtiz'],"['Julius J. Epstein', 'Philip G. Epstein']","['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains', 'Conrad Veidt']",Warner Bros.,8.5,509953,950000,4374761,100,3424761,3.61
34936,Keeper of the Flame,1942,12,"['Drama', 'Mystery']",100,Usa,English,['George Cukor'],"['I.A.R. Wylie', 'Donald Ogden Stewart']","['Spencer Tracy', 'Katharine Hepburn', 'Richard Whorf', 'Margaret Wycherly', 'Forrest Tucker']",Metro-Goldwyn-Mayer (Mgm),6.8,2213,1172000,15392,61,-1156608,-0.99
35015,The Magnificent Ambersons,1942,8,"['Drama', 'Romance']",88,Usa,English,"['Orson Welles', 'Fred Fleck']","['Booth Tarkington', 'Orson Welles']","['Joseph Cotten', 'Dolores Costello', 'Anne Baxter', 'Tim Holt', 'Agnes Moorehead']",Mercury Productions,7.7,21883,850000,,93,,
35140,"Now, Voyager",1942,3,"['Drama', 'Romance']",117,Usa,English,['Irving Rapper'],"['Casey Robinson', 'Olive Higgins Prouty']","['Bette Davis', 'Paul Henreid', 'Claude Rains', 'Gladys Cooper', 'Bonita Granville']",Warner Bros.,7.9,14808,,,70,,
35238,Random Harvest,1942,12,"['Drama', 'Romance']",126,Usa,English,['Mervyn Leroy'],"['Claudine West', 'George Froeschel']","['Ronald Colman', 'Greer Garson', 'Philip Dorn', 'Susan Peters', 'Henry Travers']",Metro-Goldwyn-Mayer (Mgm),8.0,6732,1210000,,62,,
35279,Saboteur,1942,10,"['Thriller', 'War']",109,Usa,English,['Alfred Hitchcock'],"['Peter Viertel', 'Joan Harrison']","['Priscilla Lane', 'Robert Cummings', 'Otto Kruger', 'Alan Baxter', 'Clem Bevans']",Frank Lloyd Productions,7.2,22699,,,64,,
35423,Kate & Leopold,2001,3,"['Comedy', 'Fantasy', 'Romance']",118,Usa,English,['James Mangold'],"['Steven Rogers', 'James Mangold']","['Meg Ryan', 'Hugh Jackman', 'Liev Schreiber', 'Breckin Meyer', 'Natasha Lyonne']",Konrad Pictures,6.4,77852,48000000,76019048,44,28019048,0.58
35446,To Be or Not to Be,1942,12,"['Comedy', 'War']",99,Usa,English,['Ernst Lubitsch'],"['Melchior Lengyel', 'Edwin Justus Mayer']","['Carole Lombard', 'Jack Benny', 'Robert Stack', 'Felix Bressart', 'Lionel Atwill']",Romaine Film Corporation,8.2,27473,,4578000,86,,
35460,Tortilla Flat,1942,8,"['Comedy', 'Drama', 'Romance']",105,Usa,English,['Victor Fleming'],"['John Lee Mahin', 'Benjamin Glazer']","['Spencer Tracy', 'Hedy Lamarr', 'John Garfield', 'Frank Morgan', 'Akim Tamiroff']",Metro-Goldwyn-Mayer (Mgm),6.3,1432,,,70,,
35575,Yankee Doodle Dandy,1942,7,"['Biography', 'Drama', 'Musical']",126,Usa,English,['Michael Curtiz'],"['Robert Buckner', 'Edmund Joseph']","['James Cagney', 'Joan Leslie', 'Walter Huston', 'Richard Whorf', 'Irene Manning']",Warner Bros.,7.7,13862,,,89,,
35896,For Whom the Bell Tolls,1943,7,"['Adventure', 'Drama', 'History']",170,Usa,English,['Sam Wood'],"['Dudley Nichols', 'Ernest Hemingway']","['Gary Cooper', 'Ingrid Bergman', 'Akim Tamiroff', 'Arturo De Córdova', 'Vladimir Sokoloff']",Paramount Pictures,6.9,8195,3000000,,68,,
35942,Girl Crazy,1943,11,"['Comedy', 'Musical', 'Romance']",99,Usa,English,"['Norman Taurog', 'Busby Berkeley']","['Fred F. Finklehoffe', 'Guy Bolton']","['Mickey Rooney', 'Judy Garland', 'Gil Stratton', 'Robert E. Strickland', 'Rags Ragland']",Metro-Goldwyn-Mayer (Mgm),6.8,1590,1140850,,84,,
36098,Lassie Come Home,1943,5,"['Adventure', 'Drama', 'Family']",89,Usa,English,['Fred M. Wilcox'],"['Hugo Butler', 'Eric Knight']","['Roddy Mcdowall', 'Donald Crisp', 'May Whitty', 'Edmund Gwenn', 'Nigel Bruce']",Metro-Goldwyn-Mayer (Mgm),7.1,4833,,,78,,
36261,Phantom of the Opera,1943,8,"['Drama', 'Horror', 'Music']",92,Usa,English,['Arthur Lubin'],"['Eric Taylor', 'Samuel Hoffenstein']","['Nelson Eddy', 'Susanna Foster', 'Claude Rains', 'Edgar Barrier', 'Leo Carrillo']",Universal Pictures,6.4,6310,1500000,,63,,
36342,Shadow of a Doubt,1943,2,['Thriller'],108,Usa,English,['Alfred Hitchcock'],"['Thornton Wilder', 'Sally Benson']","['Teresa Wright', 'Joseph Cotten', 'Macdonald Carey', 'Henry Travers', 'Patricia Collinge']",Universal Pictures,7.8,57997,,,94,,
